Местное время в Нижневартовске / им. В. И. Муравленко (аэропорт);T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
14.04.2018 8:00;-7.1;750.0;755.2;01.���;77;Ветер, дующий с запада;4;;;Облаков нет.; ;;;-7.3;;;;;;;50.0;-10.5;Осадков нет;12;;;Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;56.0
14.04.2018 5:00;-6.7;748.9;754.1;01.���;86;Ветер, дующий с западо-северо-запада;2;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-8.7;;;;;;
14.04.2018 2:00;-3.4;747.8;753.1;0.1;92;Ветер, дующий с северо-запада;1;;;70 – 80%.; ;;;;;Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.;70 – 80%.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;20.0;-4.5;;;;;;
13.04.2018 23:00;-3.0;747.7;753.0;-0.6;48;Ветер, дующий с северо-запада;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;50%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";20.0;-12.7;;;;;;
13.04.2018 20:00;-1.0;748.3;753.4;-0.3;38;Ветер, дующий с юго-востока;3;;;100%.; ;;;;01.���;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;50%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";20.0;-13.5;Осадков нет;12;;;;
13.04.2018 17:00;01.���;748.6;753.7;-0.9;32;Ветер, дующий с юго-востока;5;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-13.8;;;;;;
13.04.2018 14:00;01.���;749.5;754.6;-1.3;29;Ветер, дующий с юго-востока;2;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-14.8;;;;;;
13.04.2018 11:00;-0.2;750.8;755.9;-0.6;36;Ветер, дующий с юго-юго-запада;4;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-13.6;;;;;;
13.04.2018 8:00;-5.3;751.4;756.7;0.0;56;Ветер, дующий с юго-запада;3;;;20–30%.; ;;;-8.5;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-12.8;Осадков нет;12;;;Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;56.0
13.04.2018 5:00;-7.2;751.4;756.7;0.5;58;Ветер, дующий с западо-юго-запада;2;;;Облаков нет.; ;;;;;;;;;;50.0;-14.1;;;;;;
13.04.2018 2:00;-5.8;750.9;756.1;-0.4;60;Ветер, дующий с юго-запада;4;;;Облаков нет.; ;;;;;;;;;;20.0;-12.5;;;;;;
12.04.2018 23:00;-2.8;751.3;756.4;-0.3;78;Ветер, дующий с юга;3;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;90  или более, но не 100%;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;20.0;-6.2;;;;;;
12.04.2018 20:00;-2.0;751.6;756.7;1.0;59;Ветер, дующий с запада;2;;;100%.; ;;;;-0.1;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;50%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";20.0;-9.1;Осадков нет;12;;;;
12.04.2018 17:00;-0.4;750.6;755.7;0.6;44;Ветер, дующий с западо-юго-запада;5;;10;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;90  или более, но не 100%;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-11.2;;;;;;
12.04.2018 14:00;-1.0;750.0;755.1;0.4;42;Ветер, дующий с западо-юго-запада;6;10;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";;50.0;-12.4;;;;;;
12.04.2018 11:00;-1.5;749.6;754.7;0.2;44;Ветер, дующий с западо-юго-запада;5;;11;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;50.0;-12.2;;;;;;
12.04.2018 8:00;-3.2;749.4;754.6;0.2;64;Ветер, дующий с юго-запада;6;;;20–30%.; ;;;-4.3;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-9.1;Следы осадков;12;;;Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;57.0
12.04.2018 5:00;-3.9;749.2;754.4;0.6;64;Ветер, дующий с юго-запада;4;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;70 – 80%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-9.7;;;;;;
12.04.2018 2:00;-1.2;748.6;753.7;0.3;59;Ветер, дующий с западо-юго-запада;4;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;20.0;-8.3;;;;;;
11.04.2018 23:00;01.���;748.3;753.4;0.3;69;Ветер, дующий с запада;2;;;100%.;Состояние неба в общем не изменилось. ;Дождь со снегом или другими видами твердых осадков;Дождь.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;20.0;-3.6;;;;;;
11.04.2018 20:00;01.���;748.0;753.1;-0.1;97;Ветер, дующий с юго-юго-запада;4;;12;100%.;Дождь незамерзающий непрерывный слабый в срок наблюдения. ;Дождь со снегом или другими видами твердых осадков;Дождь.;;04.���;"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";70 – 80%.;100-200;Высокослоистые непросвечивающие или слоисто-дождевые.;;9.0;0.7;2.0;12;;;;
11.04.2018 17:00;01.���;748.1;753.2;0.1;87;Ветер, дующий с юго-запада;7;12;13;100%.;Дождь или морось со снегом слабые. ;Дождь со снегом или другими видами твердых осадков;Дождь.;;;"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";100%.;200-300;Высокослоистые непросвечивающие или слоисто-дождевые.;;6.0;-0.2;;;;;;
11.04.2018 14:00;04.���;748.0;753.1;-1.7;57;Ветер, дующий с юга;5;12;12;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;50.0;-3.5;;;;;;
11.04.2018 11:00;04.���;749.7;754.7;-1.3;60;Ветер, дующий с юга;6;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;60%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-2.8;;;;;;
11.04.2018 8:00;0.2;751.0;756.1;-1.1;82;Ветер, дующий с юго-юго-востока;3;;;100%.; ;;;-3.1;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-2.5;Осадков нет;12;;;Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;61.0
11.04.2018 5:00;-2.8;752.1;757.2;-0.1;93;Ветер, дующий с юга;1;;;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-3.8;;;;;;
11.04.2018 2:00;-2.5;752.2;757.3;-0.2;89;Ветер, дующий с северо-запада;1;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";20.0;-4.1;;;;;;
10.04.2018 23:00;0.2;752.4;757.5;-0.1;70;Ветер, дующий с северо-северо-востока;1;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;20.0;-4.6;;;;;;
10.04.2018 20:00;03.���;752.5;757.5;0.9;59;Ветер, дующий с севера;1;;;90  или более, но не 100%; ;;;;05.���;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;90  или более, но не 100%;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;20.0;-3.9;0.8;12;;;;
10.04.2018 17:00;05.���;751.6;756.7;0.9;56;Ветер, дующий с северо-северо-востока;3;;;100%.;Состояние неба в общем не изменилось. ;Дождь со снегом или другими видами твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;1000-1500;;;50.0;-2.9;;;;;;
10.04.2018 14:00;03.���;750.7;755.7;0.6;75;Ветер, дующий с северо-северо-востока;4;;;90  или более, но не 100%;Состояние неба в общем не изменилось. ;Дождь со снегом или другими видами твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-0.5;;;;;;
10.04.2018 11:00;1.0;750.1;755.2;0.2;97;Ветер, дующий с северо-северо-востока;5;;10;100%.;Снег непрерывный слабый в срок наблюдения. ;Ливень (ливни).;Дождь со снегом или другими видами твердых осадков;;;"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";70 – 80%.;100-200;Высокослоистые непросвечивающие или слоисто-дождевые.;;6.0;0.5;;;;;;
10.04.2018 8:00;0.8;749.9;755.0;-0.2;77;Ветер, дующий с северо-северо-востока;5;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-1.8;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;70 – 80%.;600-1000;Высокослоистые просвечивающие.;;6.0;-2.8;Следы осадков;12;;;Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;64.0
10.04.2018 5:00;0.1;750.1;755.2;-0.5;79;Ветер, дующий с северо-северо-востока;4;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые просвечивающие.;;50.0;-3.1;;;;;;
10.04.2018 2:00;-0.8;750.6;755.7;-0.7;79;Ветер, дующий с северо-востока;3;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;90  или более, но не 100%;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;20.0;-4.0;;;;;;
09.04.2018 23:00;-0.8;751.3;756.4;-0.6;76;Ветер, дующий с востоко-северо-востока;3;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;20.0;-4.6;;;;;;
09.04.2018 20:00;2.0;751.9;757.0;-0.3;68;Ветер, дующий с востока;4;;;100%.; ;;;;4.0;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;20.0;-3.4;Осадков нет;12;;;;
09.04.2018 17:00;03.���;752.2;757.2;0.1;64;Ветер, дующий с востоко-юго-востока;5;;10;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";;50.0;-2.7;;;;;;
09.04.2018 14:00;03.���;752.1;757.1;-0.9;64;Ветер, дующий с востоко-юго-востока;5;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;50%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-2.5;;;;;;
09.04.2018 11:00;02.���;753.0;758.0;-0.8;81;Ветер, дующий с востока;5;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;60%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-0.5;;;;;;
09.04.2018 8:00;0.5;753.8;759.0;-0.2;83;Ветер, дующий с востоко-юго-востока;4;;;100%.; ;;;-1.0;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-2.1;Осадков нет;12;;;Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;67.0
09.04.2018 5:00;0.4;754.0;759.1;-0.1;71;Ветер, дующий с востоко-юго-востока;4;;;90  или более, но не 100%; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;60%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-4.3;;;;;;
09.04.2018 2:00;0.0;754.1;759.3;-0.5;68;Ветер, дующий с востока;3;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;90  или более, но не 100%;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;20.0;-5.2;;;;;;
08.04.2018 23:00;1.0;754.6;759.8;-0.2;59;Ветер, дующий с востока;3;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;90  или более, но не 100%;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;20.0;-6.2;;;;;;
08.04.2018 20:00;02.���;754.8;759.9;0.4;53;Ветер, дующий с востока;4;;;90  или более, но не 100%; ;;;;05.���;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;90  или более, но не 100%;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;20.0;-6.0;Осадков нет;12;;;;
08.04.2018 17:00;04.���;754.4;759.5;0.1;44;Ветер, дующий с юго-востока;5;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;70 – 80%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-6.5;;;;;;
08.04.2018 14:00;05.���;754.3;759.4;-0.5;46;Ветер, дующий с востока;5;;11;Облаков нет.; ;;;;;;;;;;50.0;-5.7;;;;;;
08.04.2018 11:00;02.���;754.8;759.9;-0.4;55;Ветер, дующий с востока;6;;;Облаков нет.; ;;;;;;;;;;50.0;-6.0;;;;;;
08.04.2018 8:00;-1.5;755.2;760.3;0.1;62;Ветер, дующий с востоко-северо-востока;5;;;Облаков нет.; ;;;-6.1;;;;;;;50.0;-7.9;Осадков нет;12;;;Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;69.0
08.04.2018 5:00;-4.9;755.1;760.3;-0.1;71;Ветер, дующий с востоко-северо-востока;3;;;Облаков нет.; ;;;;;;;;;;50.0;-9.4;;;;;;
08.04.2018 2:00;-4.0;755.2;760.5;-0.7;69;Ветер, дующий с северо-востока;3;;;Облаков нет.; ;;;;;;;;;;20.0;-9.0;;;;;;
07.04.2018 23:00;-1.9;755.9;761.1;-0.2;63;Ветер, дующий с северо-северо-востока;3;;;Облаков нет.; ;;;;;;;;;;20.0;-8.1;;;;;;
07.04.2018 20:00;02.���;756.1;761.2;0.6;49;Ветер, дующий с востока;4;;;Облаков нет.; ;;;;04.���;;;;;;20.0;-7.6;Осадков нет;12;;;;
07.04.2018 17:00;04.���;755.5;760.6;-0.3;42;Ветер, дующий с востоко-северо-востока;6;;10;Облаков нет.; ;;;;;;;;;;50.0;-7.3;;;;;;
07.04.2018 14:00;04.���;755.8;760.9;0.0;46;Ветер, дующий с востоко-северо-востока;8;10;12;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-6.1;;;;;;
07.04.2018 11:00;03.���;755.8;760.9;-0.3;57;Ветер, дующий с востоко-северо-востока;7;10;11;Облаков нет.; ;;;;;;;;;;50.0;-4.3;;;;;;
07.04.2018 8:00;-1.2;756.1;761.2;0.6;67;Ветер, дующий с северо-востока;5;;;70 – 80%.; ;;;-3.5;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-6.6;Осадков нет;12;;;Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;72.0
07.04.2018 5:00;-3.3;755.5;760.8;-0.2;77;Ветер, дующий с северо-северо-востока;4;;;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;20.0;-6.8;;;;;;
07.04.2018 2:00;-2.1;755.7;760.9;-0.5;75;Ветер, дующий с северо-востока;4;;;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;20.0;-6.0;;;;;;
06.04.2018 23:00;0.0;756.2;761.4;-0.5;74;Ветер, дующий с северо-северо-востока;3;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";20.0;-4.1;;;;;;
06.04.2018 20:00;02.���;756.7;761.8;-0.1;64;Ветер, дующий с востоко-северо-востока;4;;;100%.; ;;;;05.���;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;60%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";20.0;-3.3;Осадков нет;12;;;;
06.04.2018 17:00;04.���;756.8;761.9;-0.3;61;Ветер, дующий с востока;4;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;60%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-2.0;;;;;;
06.04.2018 14:00;04.���;757.1;762.2;-0.6;65;Ветер, дующий с востоко-северо-востока;5;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;70 – 80%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-1.7;;;;;;
06.04.2018 11:00;03.���;757.7;762.8;-0.2;68;Ветер, дующий с северо-востока;4;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;50.0;-2.1;;;;;;
06.04.2018 8:00;2.0;757.9;763.0;0.0;77;Ветер, дующий с востоко-северо-востока;3;;;100%.; ;;;0.5;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые просвечивающие.;;50.0;-1.7;Осадков нет;12;;;Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;74.0
06.04.2018 5:00;0.6;757.9;763.0;-0.3;85;Ветер, дующий с востока;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;20.0;-1.7;;;;;;
06.04.2018 2:00;01.���;758.2;763.4;-0.1;65;Штиль, безветрие;0;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;20.0;-4.4;;;;;;
05.04.2018 23:00;01.���;758.3;763.5;0.0;66;Штиль, безветрие;0;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;90  или более, но не 100%;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;20.0;-4.2;;;;;;
05.04.2018 20:00;02.���;758.3;763.4;0.3;49;Штиль, безветрие;0;;;90  или более, но не 100%; ;;;;05.���;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;90  или более, но не 100%;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;20.0;-6.9;Осадков нет;12;;;;
05.04.2018 17:00;04.���;758.0;763.1;0.1;45;Ветер, дующий с северо-запада;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";;50.0;-6.2;;;;;;
05.04.2018 14:00;03.���;757.9;763.0;0.0;48;Ветер, дующий с юго-запада;4;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;60%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-6.1;;;;;;
