n;rooms;price;totsp;livesp;kitsp;dist;metrdist;walk;brick;tel;bal;floor;new;floors;nfloor;floor1;floor2;nw;w;sw;sanuzel__1_razdel__0_sovm_;okrug;price_meter;ln_price_meter;ln_livesp;ln_totsp;ln_kitsp;ln_dist;ln_metrdist;ln_metrdist_walk;ln_livesp_sq;ln_totsp_sq;ln_kitsp_sq;ln_dist_sq;ln_metrdist_sq;ln_floors;ln_nfloor;ln_floors_sq;ln_nfloor_sq;non_livesp;ln_totsp2;ln_totsp3;ln_price_metr
191;1;5500000;35;20;9;11;7;1;0;0;0;1;0;14;2;0;0;0;0;1;0;uzao;157142.9;11.96491;2.995732;3.555348;2.197225;2.397895;1.94591;1.94591;8.974412;12.6405;4.827796;5.749902;3.786566;2.639057;0.6931472;6.964624;0.480453;6;12.64049984;26.88493523;11.96491086
192;1;8500000;42;27;10;11;7;0;0;1;0;1;0;9;4;0;0;0;0;1;;uzao;202381;12.21791;3.295837;3.73767;2.302585;2.397895;1.94591;0;10.86254;13.97017;5.301898;5.749902;3.786566;2.197225;1.386294;4.827796;1.921812;5;13.97017418;35.80116192;12.21790734
193;1;9800000;52;21;12;17.5;7;1;1;1;0;1;1;25;5;0;0;1;0;0;0;szao;188461.5;12.14665;3.044523;3.951244;2.484907;2.862201;1.94591;1.94591;9.269117;15.61233;6.174761;8.192194;3.786566;3.218876;1.609438;10.36116;2.590291;19;15.61232692;28.2200343;12.14664902
194;1;9800000;52;21;12;17.5;7;1;0;1;0;1;0;25;5;0;0;1;0;0;0;szao;188461.5;12.14665;3.044523;3.951244;2.484907;2.862201;1.94591;1.94591;9.269117;15.61233;6.174761;8.192194;3.786566;3.218876;1.609438;10.36116;2.590291;19;15.61232692;28.2200343;12.14664902
195;1;9800000;52;22;12;17.5;7;1;0;0;1;1;0;25;5;0;0;1;0;0;0;szao;188461.5;12.14665;3.091043;3.951244;2.484907;2.862201;1.94591;1.94591;9.554543;15.61233;6.174761;8.192194;3.786566;3.218876;1.609438;10.36116;2.590291;18;15.61232692;29.53349942;12.14664902
196;1;13480000;43;19;10;6.4;10;1;0;0;1;1;1;10;9;0;0;0;1;0;0;zao;313488.4;12.65552;2.944439;3.7612;2.302585;1.856298;2.302585;2.302585;8.669721;14.14663;5.301898;3.445842;5.301898;2.302585;2.197225;5.301898;4.827796;14;14.14662631;25.52746416;12.65551764
197;1;13500000;45;19;10;6.4;7;1;0;1;1;1;1;10;9;0;0;0;1;0;0;zao;300000;12.61154;2.944439;3.806663;2.302585;1.856298;1.94591;1.94591;8.669721;14.49068;5.301898;3.445842;3.786566;2.302585;2.197225;5.301898;4.827796;16;14.49067931;25.52746416;12.61153775
198;1;13300000;43;19;10;6.4;10;1;0;0;1;1;0;10;9;0;0;0;1;0;0;zao;309302.3;12.64207;2.944439;3.7612;2.302585;1.856298;2.302585;2.302585;8.669721;14.14663;5.301898;3.445842;5.301898;2.302585;2.197225;5.301898;4.827796;14;14.14662631;25.52746416;12.64207439
199;1;13500000;45;19;10;6.4;7;1;0;1;1;1;0;10;9;0;0;0;1;0;0;zao;300000;12.61154;2.944439;3.806663;2.302585;1.856298;1.94591;1.94591;8.669721;14.49068;5.301898;3.445842;3.786566;2.302585;2.197225;5.301898;4.827796;16;14.49067931;25.52746416;12.61153775
200;1;6700000;32;19;6;6.4;2;1;1;1;1;1;0;5;2;0;0;0;1;0;;zao;209375;12.25188;2.944439;3.465736;1.791759;1.856298;0.6931472;0.6931472;8.669721;12.01133;3.210402;3.445842;0.480453;1.609438;0.6931472;2.590291;0.480453;7;12.01132535;25.52746416;12.25188218
202;1;7500000;38;19;9;11.5;10;1;0;1;0;1;0;16;8;0;0;0;0;1;0;uzao;197368.4;12.19283;2.944439;3.637586;2.197225;2.442347;2.302585;2.302585;8.669721;13.23203;4.827796;5.965059;5.301898;2.772589;2.079442;7.687248;4.324077;10;13.23203307;25.52746416;12.19282731
203;1;5900000;33;21;6;11.5;15;1;0;1;0;0;0;9;1;1;0;0;0;1;0;uzao;178787.9;12.09396;3.044523;3.496508;1.791759;2.442347;2.70805;2.70805;9.269117;12.22557;3.210402;5.965059;7.333536;2.197225;0;4.827796;0;6;12.22556513;28.2200343;12.09395547
204;1;4500000;19;12;6;11.5;5;1;0;1;0;1;0;15;10;0;0;0;0;1;1;uzao;236842.1;12.37515;2.484907;2.944439;1.791759;2.442347;1.609438;1.609438;6.174761;8.669721;3.210402;5.965059;2.590291;2.70805;2.302585;7.333536;5.301898;1;8.669720902;15.34370481;12.37514895
205;1;6500000;34;16;11;11.5;10;1;0;1;0;1;0;16;4;0;0;0;0;1;1;uzao;191176.5;12.16095;2.772589;3.526361;2.397895;2.442347;2.302585;2.302585;7.687248;12.43522;5.749902;5.965059;5.301898;2.772589;1.386294;7.687248;1.921812;7;12.43521855;21.31357773;12.16095236
206;1;8500000;44;19;10;11.5;15;1;0;0;1;1;0;20;4;0;0;0;0;1;1;uzao;193181.8;12.17139;2.944439;3.78419;2.302585;2.442347;2.70805;2.70805;8.669721;14.32009;5.301898;5.965059;7.333536;2.995732;1.386294;8.974412;1.921812;15;14.32009119;25.52746416;12.17138699
207;1;9500000;42;18;10;11.5;10;1;0;1;1;1;0;22;12;0;0;0;0;1;1;uzao;226190.5;12.32913;2.890372;3.73767;2.302585;2.442347;2.302585;2.302585;8.354249;13.97017;5.301898;5.965059;5.301898;3.091043;2.484907;9.554543;6.174761;14;13.97017418;24.14688508;12.32913284
208;1;7600000;40;20;10;11.5;20;1;0;1;1;1;0;22;7;0;0;0;0;1;1;uzao;190000;12.15478;2.995732;3.688879;2.302585;2.442347;2.995732;2.995732;8.974412;13.60783;5.301898;5.965059;8.974412;3.091043;1.94591;9.554543;3.786566;10;13.60783163;26.88493523;12.15477935
209;1;11500000;42;20;10;11.5;15;1;0;1;1;1;0;24;14;0;0;0;0;1;;uzao;273809.5;12.52019;2.995732;3.73767;2.302585;2.442347;2.70805;2.70805;8.974412;13.97017;5.301898;5.965059;7.333536;3.178054;2.639057;10.10003;6.964624;12;13.97017418;26.88493523;12.52018789
210;1;4500000;32;18;6;13;12;1;1;1;1;1;1;5;4;0;0;0;0;1;1;uzao;140625;11.85385;2.890372;3.465736;1.791759;2.564949;2.484907;2.484907;8.354249;12.01133;3.210402;6.578965;6.174761;1.609438;1.386294;2.590291;1.921812;8;12.01132535;24.14688508;11.85385205
211;1;6400000;34;25;9;13;10;1;0;1;1;0;1;9;9;0;1;0;0;1;0;uzao;188235.3;12.14545;3.218876;3.526361;2.197225;2.564949;2.302585;2.302585;10.36116;12.43522;4.827796;6.578965;5.301898;2.197225;2.197225;4.827796;4.827796;0;12.43521855;33.35129251;12.14544805
212;1;6250000;33;17;6;13;3;0;0;1;1;1;0;5;2;0;0;0;0;1;0;uzao;189393.9;12.15158;2.833213;3.496508;1.791759;2.564949;1.098612;0;8.027098;12.22557;3.210402;6.578965;1.206949;1.609438;0.6931472;2.590291;0.480453;10;12.22556513;22.74248075;12.15158425
213;1;6450000;34;18;8;13;10;1;0;1;1;0;0;9;9;0;1;0;0;1;1;uzao;189705.9;12.15323;2.890372;3.526361;2.079442;2.564949;2.302585;2.302585;8.354249;12.43522;4.324077;6.578965;5.301898;2.197225;2.197225;4.827796;4.827796;8;12.43521855;24.14688508;12.15323026
214;1;6050000;33;17;8;13;7;1;1;0;1;0;0;9;9;0;1;0;0;1;1;uzao;183333.3;12.11906;2.833213;3.496508;2.079442;2.564949;1.94591;1.94591;8.027098;12.22557;4.324077;6.578965;3.786566;2.197225;2.197225;4.827796;4.827796;8;12.22556513;22.74248075;12.11906109
215;1;5700000;32;21;5;11;15;1;0;1;1;1;1;9;8;0;0;0;0;1;0;uzao;178125;12.09024;3.044523;3.465736;1.609438;2.397895;2.70805;2.70805;9.269117;12.01133;2.590291;5.749902;7.333536;2.197225;2.079442;4.827796;4.324077;6;12.01132535;28.2200343;12.09024083
216;1;6650000;35;19;9;11;10;1;0;1;1;1;1;12;7;0;0;0;0;1;0;uzao;190000;12.15478;2.944439;3.555348;2.197225;2.397895;2.302585;2.302585;8.669721;12.6405;4.827796;5.749902;5.301898;2.484907;1.94591;6.174761;3.786566;7;12.64049984;25.52746416;12.15477935
217;1;8250000;36;19;9;11;7;1;0;1;1;1;1;12;9;0;0;0;0;1;;uzao;229166.7;12.34221;2.944439;3.583519;2.197225;2.397895;1.94591;1.94591;8.669721;12.84161;4.827796;5.749902;3.786566;2.484907;2.197225;6.174761;4.827796;8;12.84160798;25.52746416;12.34220497
218;1;6299000;38;18;9;11;7;1;0;1;0;1;1;14;6;0;0;0;0;1;;uzao;165763.2;12.01832;2.890372;3.637586;2.197225;2.397895;1.94591;1.94591;8.354249;13.23203;4.827796;5.749902;3.786566;2.639057;1.791759;6.964624;3.210402;11;13.23203307;24.14688508;12.01831554
219;1;7300000;39;19;8;11;5;1;0;1;1;1;1;17;7;0;0;0;0;1;0;uzao;187179.5;12.13982;2.944439;3.663562;2.079442;2.397895;1.609438;1.609438;8.669721;13.42168;4.324077;5.749902;2.590291;2.833213;1.94591;8.027098;3.786566;12;13.42168393;25.52746416;12.13982333
220;1;13500000;53;25;15;11;10;0;0;1;0;1;1;12;6;0;0;0;0;1;;uzao;254717;12.44791;3.218876;3.970292;2.70805;2.397895;2.302585;0;10.36116;15.76322;7.333536;5.749902;5.301898;2.484907;1.791759;6.174761;3.210402;13;15.76321788;33.35129251;12.4479084
221;1;11500000;53;13;24;11;10;0;0;1;0;1;1;14;5;0;0;0;0;1;;uzao;216981.1;12.28757;2.564949;3.970292;3.178054;2.397895;2.302585;0;6.578965;15.76322;10.10003;5.749902;5.301898;2.639057;1.609438;6.964624;2.590291;16;15.76321788;16.87471258;12.28756553
222;1;6250000;35;19;9;11;10;1;0;1;1;1;0;12;7;0;0;0;0;1;0;uzao;178571.4;12.09274;2.944439;3.555348;2.197225;2.397895;2.302585;2.302585;8.669721;12.6405;4.827796;5.749902;5.301898;2.484907;1.94591;6.174761;3.786566;7;12.64049984;25.52746416;12.0927438
223;1;7750000;38;19;9;11;5;1;0;1;1;1;0;17;8;0;0;0;0;1;1;uzao;203947.4;12.22562;2.944439;3.637586;2.197225;2.397895;1.609438;1.609438;8.669721;13.23203;4.827796;5.749902;2.590291;2.833213;2.079442;8.027098;4.324077;10;13.23203307;25.52746416;12.2256174
224;1;5100000;31;19;6;11;5;1;1;1;0;0;0;5;1;1;0;0;0;1;;uzao;164516.1;12.01076;2.944439;3.433987;1.791759;2.397895;1.609438;1.609438;8.669721;11.79227;3.210402;5.749902;2.590291;1.609438;0;2.590291;0;6;11.79226812;25.52746416;12.01076372
225;1;6250000;19;16;3;11;3;1;0;1;0;1;0;12;5;0;0;0;0;1;;uzao;328947.4;12.70365;2.772589;2.944439;1.098612;2.397895;1.098612;1.098612;7.687248;8.669721;1.206949;5.749902;1.206949;2.484907;1.609438;6.174761;2.590291;0;8.669720902;21.31357773;12.70365314
226;1;5700000;32;21;5;11;15;1;0;1;1;1;0;9;8;0;0;0;0;1;0;uzao;178125;12.09024;3.044523;3.465736;1.609438;2.397895;2.70805;2.70805;9.269117;12.01133;2.590291;5.749902;7.333536;2.197225;2.079442;4.827796;4.324077;6;12.01132535;28.2200343;12.09024083
227;1;5900000;33;18;6;11;12;1;0;1;1;1;0;12;9;0;0;0;0;1;0;uzao;178787.9;12.09396;2.890372;3.496508;1.791759;2.397895;2.484907;2.484907;8.354249;12.22557;3.210402;5.749902;6.174761;2.484907;2.197225;6.174761;4.827796;9;12.22556513;24.14688508;12.09395547
228;1;5700000;31;19;6;11;12;1;0;1;1;0;0;5;5;0;1;0;0;1;0;uzao;183871;12.12199;2.944439;3.433987;1.791759;2.397895;2.484907;2.484907;8.669721;11.79227;3.210402;5.749902;6.174761;1.609438;1.609438;2.590291;2.590291;6;11.79226812;25.52746416;12.1219897
229;1;4800000;32;16;6;11;5;0;0;1;0;0;0;5;1;1;0;0;0;1;0;uzao;150000;11.91839;2.772589;3.465736;1.791759;2.397895;1.609438;0;7.687248;12.01133;3.210402;5.749902;2.590291;1.609438;0;2.590291;0;10;12.01132535;21.31357773;11.91839057
230;1;8300000;39;19;10;11;15;1;1;0;1;0;0;22;22;0;1;0;0;1;0;uzao;212820.5;12.2682;2.944439;3.663562;2.302585;2.397895;2.70805;2.70805;8.669721;13.42168;5.301898;5.749902;7.333536;3.091043;3.091043;9.554543;9.554543;10;13.42168393;25.52746416;12.26820437
231;1;5950000;31;20;6;11;7;1;0;1;1;1;0;9;6;0;0;0;0;1;0;uzao;191935.5;12.16491;2.995732;3.433987;1.791759;2.397895;1.94591;1.94591;8.974412;11.79227;3.210402;5.749902;3.786566;2.197225;1.791759;4.827796;3.210402;5;11.79226812;26.88493523;12.16491466
232;1;5350000;20;16;3;11;10;0;0;1;0;0;0;5;5;0;1;0;0;1;;uzao;267500;12.49687;2.772589;2.995732;1.098612;2.397895;2.302585;0;7.687248;8.974412;1.206949;5.749902;5.301898;1.609438;1.609438;2.590291;2.590291;1;8.974411855;21.31357773;12.49687485
233;1;7300000;20;16;3;11;10;0;0;1;0;1;0;22;16;0;0;0;0;1;;uzao;365000;12.80765;2.772589;2.995732;1.098612;2.397895;2.302585;0;7.687248;8.974412;1.206949;5.749902;5.301898;3.091043;2.772589;9.554543;7.687248;1;8.974411855;21.31357773;12.80765263
234;1;6200000;34;25;9;11;10;1;0;1;1;0;0;9;9;0;1;0;0;1;0;uzao;182352.9;12.1137;3.218876;3.526361;2.197225;2.397895;2.302585;2.302585;10.36116;12.43522;4.827796;5.749902;5.301898;2.197225;2.197225;4.827796;4.827796;0;12.43521855;33.35129251;12.1136991
235;1;13500000;57;25;10;14.5;10;0;1;1;1;1;0;22;8;0;0;0;0;1;;uzao;236842.1;12.37515;3.218876;4.043051;2.302585;2.674149;2.302585;0;10.36116;16.34626;5.301898;7.151071;5.301898;3.091043;2.079442;9.554543;4.324077;22;16.34626355;33.35129251;12.37514895
236;1;6767000;33;20;8;14.5;7;1;0;1;0;1;0;9;8;0;0;0;0;1;0;uzao;205060.6;12.23106;2.995732;3.496508;2.079442;2.674149;1.94591;1.94591;8.974412;12.22557;4.324077;7.151071;3.786566;2.197225;2.079442;4.827796;4.324077;5;12.22556513;26.88493523;12.23106082
237;1;7100000;38;18;10;14.5;12;1;0;1;1;0;0;14;14;0;1;0;0;1;;uzao;186842.1;12.13802;2.890372;3.637586;2.302585;2.674149;2.484907;2.484907;8.354249;13.23203;5.301898;7.151071;6.174761;2.639057;2.639057;6.964624;6.964624;10;13.23203307;24.14688508;12.13801915
238;1;14300000;56;45;8;14.5;10;0;0;1;0;1;0;22;8;0;0;0;0;1;;uzao;255357.1;12.45042;3.806663;4.025352;2.079442;2.674149;2.302585;0;14.49068;16.20345;4.324077;7.151071;5.301898;3.091043;2.079442;9.554543;4.324077;3;16.20345623;55.16112538;12.45041824
239;1;11000000;53;13;24;14.5;10;0;0;1;0;1;0;14;5;0;0;0;0;1;;uzao;207547.2;12.24311;2.564949;3.970292;3.178054;2.674149;2.302585;0;6.578965;15.76322;10.10003;7.151071;5.301898;2.639057;1.609438;6.964624;2.590291;16;15.76321788;16.87471258;12.24311406
240;1;13500000;53;25;15;14.5;10;0;0;1;0;1;0;22;6;0;0;0;0;1;;uzao;254717;12.44791;3.218876;3.970292;2.70805;2.674149;2.302585;0;10.36116;15.76322;7.333536;7.151071;5.301898;3.091043;1.791759;9.554543;3.210402;13;15.76321788;33.35129251;12.4479084
241;1;8000000;36;19;8;14.5;5;1;0;0;1;1;0;17;6;0;0;0;0;1;0;uzao;222222.2;12.31143;2.944439;3.583519;2.079442;2.674149;1.609438;1.609438;8.669721;12.84161;4.324077;7.151071;2.590291;2.833213;1.791759;8.027098;3.210402;9;12.84160798;25.52746416;12.31143306
242;1;7650000;39;19;10;14.5;5;1;0;1;1;1;0;16;8;0;0;0;0;1;0;uzao;196153.8;12.18665;2.944439;3.663562;2.302585;2.674149;1.609438;1.609438;8.669721;13.42168;5.301898;7.151071;2.590291;2.772589;2.079442;7.687248;4.324077;10;13.42168393;25.52746416;12.18665432
243;1;7500000;38;20;9;13;10;0;0;1;0;1;1;18;11;0;0;0;1;0;;zao;197368.4;12.19283;2.995732;3.637586;2.197225;2.564949;2.302585;0;8.974412;13.23203;4.827796;6.578965;5.301898;2.890372;2.397895;8.354249;5.749902;9;13.23203307;26.88493523;12.19282731
244;1;7500000;38;20;9;13;10;0;0;1;0;1;1;22;11;0;0;0;1;0;;zao;197368.4;12.19283;2.995732;3.637586;2.197225;2.564949;2.302585;0;8.974412;13.23203;4.827796;6.578965;5.301898;3.091043;2.397895;9.554543;5.749902;9;13.23203307;26.88493523;12.19282731
245;1;7500000;38;20;9;13;10;0;0;1;0;1;1;17;11;0;0;0;1;0;;zao;197368.4;12.19283;2.995732;3.637586;2.197225;2.564949;2.302585;0;8.974412;13.23203;4.827796;6.578965;5.301898;2.833213;2.397895;8.027098;5.749902;9;13.23203307;26.88493523;12.19282731
246;1;8000000;19;16;3;13;10;0;0;1;0;1;1;17;3;0;0;0;1;0;;zao;421052.6;12.95051;2.772589;2.944439;1.098612;2.564949;2.302585;0;7.687248;8.669721;1.206949;6.578965;5.301898;2.833213;1.098612;8.027098;1.206949;0;8.669720902;21.31357773;12.95051305
247;1;10700000;51;21;12;13;10;0;0;1;0;1;1;16;7;0;0;0;1;0;;zao;209803.9;12.25393;3.044523;3.931826;2.484907;2.564949;2.302585;0;9.269117;15.45925;6.174761;6.578965;5.301898;2.772589;1.94591;7.687248;3.786566;18;15.45925281;28.2200343;12.25392856
248;1;7500000;38;18;8;13;5;1;0;1;1;1;0;22;3;0;0;0;1;0;1;zao;197368.4;12.19283;2.890372;3.637586;2.079442;2.564949;1.609438;1.609438;8.354249;13.23203;4.324077;6.578965;2.590291;3.091043;1.098612;9.554543;1.206949;12;13.23203307;24.14688508;12.19282731
249;1;8500000;38;18;8;13;3;1;0;1;1;1;0;23;3;0;0;0;1;0;1;zao;223684.2;12.31799;2.890372;3.637586;2.079442;2.564949;1.098612;1.098612;8.354249;13.23203;4.324077;6.578965;1.206949;3.135494;1.098612;9.831324;1.206949;12;13.23203307;24.14688508;12.31799051
250;1;8300000;38;18;8;13;6;1;0;1;1;1;0;23;6;0;0;0;1;0;;zao;218421;12.29418;2.890372;3.637586;2.079442;2.564949;1.791759;1.791759;8.354249;13.23203;4.324077;6.578965;3.210402;3.135494;1.791759;9.831324;3.210402;12;13.23203307;24.14688508;12.29417967
251;1;8000000;19;16;3;13;10;0;0;1;0;1;0;17;3;0;0;0;1;0;;zao;421052.6;12.95051;2.772589;2.944439;1.098612;2.564949;2.302585;0;7.687248;8.669721;1.206949;6.578965;5.301898;2.833213;1.098612;8.027098;1.206949;0;8.669720902;21.31357773;12.95051305
252;1;7600000;39;18;9;13;9;1;0;1;1;1;0;17;5;0;0;0;1;0;0;zao;194871.8;12.1801;2.890372;3.663562;2.197225;2.564949;2.197225;2.197225;8.354249;13.42168;4.827796;6.578965;4.827796;2.833213;1.609438;8.027098;2.590291;12;13.42168393;24.14688508;12.18009719
253;1;8300000;40;19;8;13;15;1;0;1;1;1;0;17;4;0;0;0;1;0;0;zao;207500;12.24289;2.944439;3.688879;2.079442;2.564949;2.70805;2.70805;8.669721;13.60783;4.324077;6.578965;7.333536;2.833213;1.386294;8.027098;1.921812;13;13.60783163;25.52746416;12.24288662
254;1;8400000;39;19;9;13;10;1;0;1;1;1;0;17;3;0;0;0;1;0;0;zao;215384.6;12.28018;2.944439;3.663562;2.197225;2.564949;2.302585;2.302585;8.669721;13.42168;4.827796;6.578965;5.301898;2.833213;1.098612;8.027098;1.206949;11;13.42168393;25.52746416;12.28018055
255;1;5600000;32;22;6;10;5;0;0;1;1;1;0;9;7;0;0;0;0;1;;uzao;175000;12.07254;3.091043;3.465736;1.791759;2.302585;1.609438;0;9.554543;12.01133;3.210402;5.301898;2.590291;2.197225;1.94591;4.827796;3.786566;4;12.01132535;29.53349942;12.07254125
256;1;4850000;32;20;6;10;10;1;0;1;0;0;0;5;1;1;0;0;0;1;0;uzao;151562.5;11.92875;2.995732;3.465736;1.791759;2.302585;2.302585;2.302585;8.974412;12.01133;3.210402;5.301898;5.301898;1.609438;0;2.590291;0;6;12.01132535;26.88493523;11.92875336
257;1;5350000;32;20;6;10;4;1;0;1;1;1;0;5;2;0;0;0;0;1;0;uzao;167187.5;12.02687;2.995732;3.465736;1.791759;2.302585;1.386294;1.386294;8.974412;12.01133;3.210402;5.301898;1.921812;1.609438;0.6931472;2.590291;0.480453;6;12.01132535;26.88493523;12.02687122
258;1;5300000;31;19;6;10;7;1;0;1;1;0;0;5;5;0;1;0;0;1;0;uzao;170967.7;12.04923;2.944439;3.433987;1.791759;2.302585;1.94591;1.94591;8.669721;11.79227;3.210402;5.301898;3.786566;1.609438;1.609438;2.590291;2.590291;6;11.79226812;25.52746416;12.04922993
259;1;5500000;31;20;6;10;5;1;0;1;1;1;0;9;8;0;0;0;0;0;;;177419.4;12.08627;2.995732;3.433987;1.791759;2.302585;1.609438;1.609438;8.974412;11.79227;3.210402;5.301898;2.590291;2.197225;2.079442;4.827796;4.324077;5;11.79226812;26.88493523;12.0862717
260;1;4500000;17;12;4;11;10;0;0;1;0;0;1;5;1;1;0;0;1;0;;zao;264705.9;12.48637;2.484907;2.833213;1.386294;2.397895;2.302585;0;6.174761;8.027098;1.921812;5.749902;5.301898;1.609438;0;2.590291;0;1;8.027097853;15.34370481;12.48637468
261;1;7350000;18;15;3;11;10;0;0;1;0;1;1;16;12;0;0;0;1;0;;zao;408333.3;12.91984;2.70805;2.890372;1.098612;2.397895;2.302585;0;7.333536;8.354249;1.206949;5.749902;5.301898;2.772589;2.484907;7.687248;6.174761;0;8.354248899;19.85958335;12.91983903
262;1;7400000;19;16;3;11;10;0;0;1;0;1;1;9;8;0;0;0;1;0;;zao;389473.7;12.87255;2.772589;2.944439;1.098612;2.397895;2.302585;0;7.687248;8.669721;1.206949;5.749902;5.301898;2.197225;2.079442;4.827796;4.324077;0;8.669720902;21.31357773;12.87255162
263;1;5300000;31;18;6;11;5;0;0;1;1;1;1;5;3;0;0;0;1;0;1;zao;170967.7;12.04923;2.890372;3.433987;1.791759;2.397895;1.609438;0;8.354249;11.79227;3.210402;5.749902;2.590291;1.609438;1.098612;2.590291;1.206949;7;11.79226812;24.14688508;12.04922993
264;1;5800000;32;18;7;11;5;0;0;1;0;0;1;9;9;0;1;0;1;0;0;zao;181250;12.10763;2.890372;3.465736;1.94591;2.397895;1.609438;0;8.354249;12.01133;3.786566;5.749902;2.590291;2.197225;2.197225;4.827796;4.827796;7;12.01132535;24.14688508;12.10763257
265;1;6000000;35;20;9;11;10;0;0;1;0;1;1;12;4;0;0;0;1;0;;zao;171428.6;12.05192;2.995732;3.555348;2.197225;2.397895;2.302585;0;8.974412;12.6405;4.827796;5.749902;5.301898;2.484907;1.386294;6.174761;1.921812;6;12.64049984;26.88493523;12.05192213
266;1;6700000;36;20;10;11;17;1;0;1;1;1;1;12;8;0;0;0;1;0;0;zao;186111.1;12.1341;2.995732;3.583519;2.302585;2.397895;2.833213;2.833213;8.974412;12.84161;5.301898;5.749902;8.027098;2.484907;2.079442;6.174761;4.324077;6;12.84160798;26.88493523;12.13409909
267;1;7450000;45;31;6;11;5;1;1;1;1;1;1;5;4;0;0;0;1;0;0;zao;165555.6;12.01706;3.433987;3.806663;1.791759;2.397895;1.609438;1.609438;11.79227;14.49068;3.210402;5.749902;2.590291;1.609438;1.386294;2.590291;1.921812;8;14.49067931;40.49449784;12.01706237
268;1;6700000;19;16;3;11;7;0;0;1;0;1;0;9;8;0;0;0;1;0;;zao;352631.6;12.77318;2.772589;2.944439;1.098612;2.397895;1.94591;0;7.687248;8.669721;1.206949;5.749902;3.786566;2.197225;2.079442;4.827796;4.324077;0;8.669720902;21.31357773;12.77317916
269;1;4800000;17;13;2;11;10;0;0;1;0;0;0;5;1;1;0;0;1;0;;zao;282352.9;12.55091;2.564949;2.833213;0.6931472;2.397895;2.302585;0;6.578965;8.027098;0.480453;5.749902;5.301898;1.609438;0;2.590291;0;2;8.027097853;16.87471258;12.55091299
270;1;5500000;32;20;6;11;15;1;0;1;0;0;0;5;1;1;0;0;1;0;;zao;171875;12.05452;2.995732;3.465736;1.791759;2.397895;2.70805;2.70805;8.974412;12.01133;3.210402;5.749902;7.333536;1.609438;0;2.590291;0;6;12.01132535;26.88493523;12.05452275
271;1;7450000;45;31;6;11;5;1;1;1;1;1;0;5;4;0;0;0;1;0;0;zao;165555.6;12.01706;3.433987;3.806663;1.791759;2.397895;1.609438;1.609438;11.79227;14.49068;3.210402;5.749902;2.590291;1.609438;1.386294;2.590291;1.921812;8;14.49067931;40.49449784;12.01706237
272;1;5900000;35;20;9;11;10;0;0;1;0;1;0;12;4;0;0;0;1;0;;zao;168571.4;12.03512;2.995732;3.555348;2.197225;2.397895;2.302585;0;8.974412;12.6405;4.827796;5.749902;5.301898;2.484907;1.386294;6.174761;1.921812;6;12.64049984;26.88493523;12.03511468
273;1;8600000;40;20;8;11;5;0;0;1;1;1;0;14;2;0;0;0;1;0;0;zao;215000;12.27839;2.995732;3.688879;2.079442;2.397895;1.609438;0;8.974412;13.60783;4.324077;5.749902;2.590291;2.639057;0.6931472;6.964624;0.480453;12;13.60783163;26.88493523;12.27839331
274;1;5500000;31;20;6;11;15;1;1;1;0;0;0;5;1;1;0;0;1;0;0;zao;177419.4;12.08627;2.995732;3.433987;1.791759;2.397895;2.70805;2.70805;8.974412;11.79227;3.210402;5.749902;7.333536;1.609438;0;2.590291;0;5;11.79226812;26.88493523;12.0862717
275;1;7190000;38;19;7;11;10;1;0;0;1;1;0;17;11;0;0;0;1;0;0;zao;189210.5;12.15062;2.944439;3.637586;1.94591;2.397895;2.302585;2.302585;8.669721;13.23203;3.786566;5.749902;5.301898;2.833213;2.397895;8.027098;5.749902;12;13.23203307;25.52746416;12.15061543
276;1;8050000;42;21;9;11;10;0;0;1;1;1;0;14;10;0;0;0;1;0;1;zao;191666.7;12.16351;3.044523;3.73767;2.197225;2.397895;2.302585;0;9.269117;13.97017;4.827796;5.749902;5.301898;2.639057;2.302585;6.964624;5.301898;12;13.97017418;28.2200343;12.16351321
277;1;11180000;56;19;13;11;10;1;1;1;1;1;0;22;5;0;0;0;1;0;;zao;199642.9;12.20429;2.944439;4.025352;2.564949;2.397895;2.302585;2.302585;8.669721;16.20345;6.578965;5.749902;5.301898;3.091043;1.609438;9.554543;2.590291;24;16.20345623;25.52746416;12.20428555
278;1;5300000;33;19;7;11;5;0;0;1;0;1;0;9;2;0;0;0;1;0;0;zao;160606.1;11.98671;2.944439;3.496508;1.94591;2.397895;1.609438;0;8.669721;12.22557;3.786566;5.749902;2.590291;2.197225;0.6931472;4.827796;0.480453;7;12.22556513;25.52746416;11.98671006
279;1;8150000;45;22;10;11;10;1;1;0;1;1;0;22;12;0;0;0;1;0;1;zao;181111.1;12.10687;3.091043;3.806663;2.302585;2.397895;2.302585;2.302585;9.554543;14.49068;5.301898;5.749902;5.301898;3.091043;2.484907;9.554543;6.174761;13;14.49067931;29.53349942;12.10686593
280;1;9400000;37;19;9;11;7;1;1;1;1;1;0;14;11;0;0;0;1;0;0;zao;254054;12.4453;2.944439;3.610918;2.197225;2.397895;1.94591;1.94591;8.669721;13.03873;4.827796;5.749902;3.786566;2.639057;2.397895;6.964624;5.749902;9;13.03872817;25.52746416;12.44530212
