ID фианита,Вес (карат),Качество огранки,Цвет,Оценка чистоты,Высота на средний диаметр (%),Ширина площадки на средний диаметр (%),Длина (мм),Ширина (мм),Высота (мм),Стоимость
225,11693,,Идеальное,Аква,"Очень мелкие включения, видимые без увеличения",61.3,56.0,4.79,4.74,2.92,1050
226,10099,0.32,Почти идеальное,Голубой,"Очень мелкие включения, видимые без увеличения",61.3,60.0,4.38,4.33,2.67,720
227,6219,0.31,Идеальное,Голубой,"Мелкие включения, видимые без увеличения",61.8,54.0,4.34,4.36,2.69,464
228,9127,0.53,Идеальное,Аква,"Мелкие включения, видимые без увеличения",62.2,56.0,5.19,5.23,3.24,1631
229,22104,0.34,Почти идеальное,Голубой,"Очень мелкие включения, видимые без увеличения",60.2,60.0,4.56,4.51,2.73,689
230,24243,0.31,Почти идеальное,Голубой,"Очень мелкие включения, не видимые без увеличения",61.4,59.0,4.38,4.35,2.68,802
231,262,0.71,Почти идеальное,Аква,"Очень мелкие включения, видимые без увеличения",58.7,61.0,5.88,5.85,3.44,2968
232,4163,0.96,Хорошее,Голубой,"Крупные включения, видимые без увеличения",61.5,63.0,6.22,6.06,3.78,1637
233,10235,0.51,Почти идеальное,Аква,"Мелкие включения, видимые без увеличения",62.3,57.0,5.13,5.08,3.18,1687
234,9760,0.27,Почти идеальное,Голубой,"Очень мелкие включения, не видимые без увеличения",60.7,59.0,4.19,4.21,2.55,486
235,12347,0.31,Отличное,Белый,"Очень мелкие включения, видимые без увеличения",62.6,57.0,4.3,4.32,2.7,544
236,13250,0.39,Почти идеальное,Шампань,"Очень мелкие включения, видимые без увеличения",59.6,60.0,4.72,4.75,2.82,1026
237,1326,0.32,Почти идеальное,Зеленый,"Очень мелкие включения, не видимые без увеличения",60.1,61.0,4.45,4.4,2.66,756
238,14966,0.7,Почти идеальное,Шампань,"Очень мелкие включения, видимые без увеличения",62.6,56.0,5.71,5.66,3.56,2822
239,11961,0.51,Идеальное,Голубой,"Очень мелкие включения, видимые без увеличения",62.7,54.0,5.12,5.15,3.22,1438
240,24773,0.51,Идеальное,Голубой,Чистый,62.6,56.0,5.1,5.13,3.2,1920
241,6147,0.71,Отличное,Шампань,"Очень мелкие включения, видимые без увеличения",59.9,59.0,5.77,5.81,3.47,2921
242,8146,0.32,Почти идеальное,Зеленый,Чистый,60.3,58.0,4.41,4.45,2.67,673
243,25779,0.3,Идеальное,,"Очень мелкие включения, не видимые без увеличения",62.2,56.0,4.25,4.3,2.66,495
244,11521,0.33,Почти идеальное,Голубой,Чистый,60.3,59.0,4.49,4.47,2.7,1114
245,512,0.3,Почти идеальное,Белый,"Мелкие включения, видимые без увеличения",62.6,57.0,4.34,4.25,2.69,574
246,15469,0.38,Отличное,Аква,"Очень мелкие включения, видимые без увеличения",60.9,58.0,4.63,4.67,2.83,933
247,23780,0.7,Хорошее,Желтый,"Очень мелкие включения, не видимые без увеличения",67.6,54.0,5.56,5.41,3.71,1691
248,8409,0.26,Отличное,Аква,"Очень мелкие включения, не видимые без увеличения",62.4,54.0,4.08,4.13,2.56,554
249,19784,0.32,Отличное,Аква,"Мелкие включения, видимые без увеличения",63.1,57.0,4.38,4.37,2.76,756
250,1982,1.02,Отличное,Шампань,"Мелкие включения, видимые без увеличения",58.7,63.0,6.61,6.55,3.86,4286
251,13575,0.8,Хорошее,Белый,"Мелкие включения, видимые без увеличения",67.1,56.0,5.76,5.73,3.85,2400
252,19337,0.31,Очень хорошее,Голубой,"Очень мелкие включения, видимые без увеличения",57.5,60.0,4.46,4.51,2.58,435
253,23377,0.5,Идеальное,Шампань,"Очень мелкие включения, видимые без увеличения",62.1,57.0,5.1,5.05,3.15,1629
254,1635,0.9,Отличное,Зеленый,"Очень мелкие включения, видимые без увеличения",63.1,57.0,6.12,6.09,3.85,3473
255,11320,0.39,Идеальное,Розовый,"Очень мелкие включения, не видимые без увеличения",61.7,56.0,4.7,4.73,2.91,988
256,21602,0.62,Почти идеальное,Белый,"Мелкие включения, видимые без увеличения",59.9,58.0,5.56,5.49,3.31,1572
257,1084,0.41,Идеальное,Белый,"Очень мелкие включения, видимые без увеличения",60.8,56.0,4.79,4.82,2.92,899
258,5557,0.7,Хорошее,Розовый,"Очень мелкие включения, видимые без увеличения",66.4,53.0,5.51,5.49,3.65,2516
259,4965,0.34,Идеальное,,"Мелкие включения, видимые без увеличения",62.0,56.0,4.47,4.5,2.78,626
260,371,0.3,Очень хорошее,Розовый,Чистый,60.0,63.0,4.3,4.36,2.6,742
261,17802,0.53,Идеальное,Розовый,"Очень мелкие включения, не видимые без увеличения",61.4,56.0,5.19,5.23,3.2,2275
262,7795,0.32,Почти идеальное,Белый,"Мелкие включения, видимые без увеличения",61.0,61.0,4.41,4.38,2.68,612
263,7772,0.41,Очень хорошее,Шампань,"Мелкие включения, видимые без увеличения",59.5,62.0,4.85,4.87,2.89,760
264,26917,0.5,Почти идеальное,Голубой,"Мелкие включения, видимые без увеличения",60.2,61.0,5.16,5.14,3.1,1141
265,11919,0.23,Отличное,Шампань,"Очень мелкие включения, не видимые без увеличения",61.9,60.0,3.93,3.96,2.44,505
266,6017,0.54,Почти идеальное,Шампань,"Мелкие включения, видимые без увеличения",61.4,60.0,5.21,5.25,3.21,1422
267,23354,0.53,Почти идеальное,Шампань,"Мелкие включения, видимые без увеличения",62.3,60.0,5.27,5.17,3.25,1307
268,14543,0.5,Хорошее,Шампань,"Очень мелкие включения, видимые без увеличения",66.3,55.0,4.98,4.94,3.29,1397
269,14949,0.71,Отличное,Шампань,"Мелкие включения, видимые без увеличения",63.2,57.0,5.72,5.67,3.6,2516
270,13859,0.31,Очень хорошее,Голубой,"Очень мелкие включения, видимые без увеличения",63.6,55.0,4.29,4.32,2.74,544
271,6032,0.4,Отличное,Аква,"Очень мелкие включения, видимые без увеличения",63.2,60.0,4.65,4.69,2.95,963
272,9598,0.3,Идеальное,Голубой,"Мелкие включения, видимые без увеличения",61.6,54.0,4.33,4.37,2.68,450
273,25194,0.44,Почти идеальное,,"Очень мелкие включения, видимые без увеличения",60.7,58.0,4.91,4.88,2.97,1238
274,667,0.45,Очень хорошее,Белый,"Очень мелкие включения, видимые без увеличения",60.7,60.4,4.94,4.98,3.01,1246
275,23306,0.55,Идеальное,Розовый,"Очень мелкие включения, видимые без увеличения",60.9,56.0,5.3,5.34,3.24,1709
276,23724,0.3,Отличное,Розовый,"Очень мелкие включения, видимые без увеличения",61.4,55.0,4.32,4.37,2.67,524
277,21544,0.5,Очень хорошее,Шампань,"Мелкие включения, видимые без увеличения",64.0,57.0,5.04,4.99,3.21,1155
278,3435,0.37,Идеальное,Розовый,"Очень мелкие включения, видимые без увеличения",60.6,56.0,4.63,4.64,2.81,746
279,18177,0.51,Идеальное,Розовый,"Очень мелкие включения, видимые без увеличения",61.6,55.0,5.14,5.18,3.18,1870
280,16383,0.9,Очень хорошее,Голубой,"Мелкие включения, видимые без увеличения",63.6,60.0,6.11,6.06,3.87,3193
281,25421,0.71,Хорошее,Шампань,"Очень мелкие включения, видимые без увеличения",64.6,59.0,5.62,5.59,3.62,2902
282,23949,0.52,Хорошее,Зеленый,"Очень мелкие включения, не видимые без увеличения",60.4,66.0,5.26,5.2,3.16,1401
283,20709,0.27,Отличное,Шампань,"Очень мелкие включения, не видимые без увеличения",61.9,58.0,4.1,4.14,2.55,575
284,1554,0.73,Почти идеальное,Белый,"Мелкие включения, видимые без увеличения",60.8,58.0,5.82,5.85,3.55,2163
285,22567,1.29,Очень хорошее,Зеленый,"Крупные включения, видимые без увеличения",64.2,54.0,6.93,6.83,4.42,3098
286,13249,0.57,Очень хорошее,Голубой,"Очень мелкие включения, видимые без увеличения",63.7,51.0,5.36,5.29,3.39,1728
287,1660,1.02,Отличное,Розовый,"Мелкие включения, видимые без увеличения",63.0,58.0,6.37,6.43,4.03,4319
288,9758,0.37,Идеальное,Белый,"Очень мелкие включения, видимые без увеличения",61.3,57.0,4.6,4.64,2.83,649
289,25655,0.41,Почти идеальное,,"Очень мелкие включения, видимые без увеличения",60.9,58.0,4.8,4.83,2.93,827
290,67,0.54,Почти идеальное,Розовый,"Мелкие включения, видимые без увеличения",59.7,59.0,5.36,5.3,3.18,1369
291,2890,0.31,Идеальное,Шампань,"Очень мелкие включения, не видимые без увеличения",61.3,56.0,4.39,4.43,2.7,1064
292,26335,0.31,Почти идеальное,,"Очень мелкие включения, видимые без увеличения",61.0,56.0,4.37,4.35,2.66,698
293,6613,0.28,Идеальное,Белый,"Очень мелкие включения, видимые без увеличения",62.1,55.0,4.22,4.25,2.63,490
294,5593,0.7,Очень хорошее,Голубой,"Очень мелкие включения, видимые без увеличения",62.2,61.6,5.63,5.66,3.51,2428
295,13992,0.78,Отличное,,"Очень мелкие включения, видимые без увеличения",62.2,58.0,5.86,5.9,3.66,3429
296,7742,0.76,Идеальное,Розовый,"Мелкие включения, видимые без увеличения",62.7,57.0,5.82,5.85,3.66,2607
297,10530,0.73,Хорошее,Аква,"Мелкие включения, видимые без увеличения",64.5,56.0,5.7,5.65,3.66,2539
298,12735,0.37,Идеальное,Розовый,"Мелкие включения, видимые без увеличения",62.4,54.0,4.6,4.63,2.88,616
299,14224,0.39,Идеальное,Белый,"Мелкие включения, видимые без увеличения",60.9,56.0,4.78,4.74,2.9,716
300,18149,1.18,Идеальное,Шампань,"Крупные включения, видимые без увеличения",61.6,56.0,6.79,6.82,4.19,4153
301,16303,0.31,Идеальное,Аква,"Мелкие включения, видимые без увеличения",62.3,55.0,4.37,4.33,2.71,732
302,10906,0.32,Отличное,Белый,"Мелкие включения, видимые без увеличения",62.0,55.0,4.41,4.43,2.74,477
303,1268,0.74,Идеальное,Шампань,"Очень мелкие включения, видимые без увеличения",61.7,56.0,5.81,5.86,3.6,3374
304,5182,0.71,Идеальное,Голубой,"Очень мелкие включения, видимые без увеличения",61.4,57.0,5.71,5.75,3.52,2522
305,23918,0.4,Идеальное,Голубой,"Очень мелкие включения, не видимые без увеличения",62.3,54.0,4.74,4.77,2.96,1017
306,8906,0.41,Идеальное,Аква,"Очень мелкие включения, не видимые без увеличения",62.3,55.0,4.78,4.75,2.97,1582
307,16022,0.71,Очень хорошее,Розовый,"Мелкие включения, видимые без увеличения",63.6,60.0,5.64,5.61,3.58,2072
308,15966,0.37,Отличное,Голубой,"Мелкие включения, видимые без увеличения",62.6,63.0,4.6,4.5,2.85,613
309,3501,0.31,Идеальное,Белый,"Очень мелкие включения, не видимые без увеличения",61.6,56.0,4.35,4.39,2.69,816
310,12937,0.3,Очень хорошее,Голубой,"Очень мелкие включения, не видимые без увеличения",63.6,55.0,4.28,4.24,2.71,776
311,13898,0.28,Отличное,Розовый,"Очень мелкие включения, видимые без увеличения",60.8,58.0,4.24,4.28,2.59,487
312,16517,0.51,Идеальное,Белый,"Очень мелкие включения, видимые без увеличения",61.3,55.7,5.15,5.18,3.16,1595
313,10434,0.21,Отличное,Шампань,"Очень мелкие включения, видимые без увеличения",63.2,54.0,3.82,3.78,2.4,386
314,17982,0.32,Отличное,Белый,"Очень мелкие включения, видимые без увеличения",61.9,56.0,4.36,4.39,2.71,576
315,11476,0.31,Отличное,Белый,"Очень мелкие включения, не видимые без увеличения",63.1,56.0,4.35,4.33,2.74,1046
316,2526,0.32,Идеальное,Аква,"Мелкие включения, видимые без увеличения",62.5,54.0,4.39,4.41,2.75,589
317,22744,0.31,Идеальное,Голубой,"Очень мелкие включения, не видимые без увеличения",62.8,57.0,4.33,4.3,2.71,802
318,4462,0.7,Идеальное,Белый,"Очень мелкие включения, не видимые без увеличения",60.7,57.0,5.73,5.76,3.49,3303
319,9749,0.46,Идеальное,,"Мелкие включения, видимые без увеличения",61.1,55.0,4.97,5.01,3.05,1130
320,3514,0.43,Почти идеальное,Белый,Чистый,61.0,58.0,4.82,4.88,2.96,1433
321,3459,0.27,Очень хорошее,Шампань,"Очень мелкие включения, видимые без увеличения",57.5,63.0,4.24,4.28,2.45,377
322,4269,0.43,Очень хорошее,Шампань,"Мелкие включения, видимые без увеличения",60.6,61.0,4.96,4.98,3.01,723
323,21681,0.71,Очень хорошее,Зеленый,"Очень мелкие включения, видимые без увеличения",63.3,56.0,5.65,5.69,3.59,2306
324,24125,0.71,Идеальное,Зеленый,"Очень мелкие включения, не видимые без увеличения",60.6,57.0,5.73,5.78,3.49,2463
325,20270,0.7,Почти идеальное,,"Мелкие включения, видимые без увеличения",62.1,58.0,5.7,5.64,3.52,2527
326,1355,0.52,Очень хорошее,Шампань,"Очень мелкие включения, видимые без увеличения",63.4,57.0,5.12,5.16,3.26,1576
327,18152,0.41,Очень хорошее,Шампань,"Очень мелкие включения, не видимые без увеличения",63.5,57.0,4.73,4.75,3.01,1002
328,25540,0.34,Идеальное,Белый,"Очень мелкие включения, не видимые без увеличения",61.8,56.0,4.48,4.51,2.78,913
329,16615,0.5,Очень хорошее,Аква,"Мелкие включения, видимые без увеличения",63.2,56.0,5.01,5.05,3.18,1157
330,2240,,Почти идеальное,Шампань,"Мелкие включения, видимые без увеличения",62.9,57.0,6.25,6.19,3.91,3984
331,3321,0.79,Почти идеальное,Шампань,"Очень мелкие включения, видимые без увеличения",59.4,60.0,6.08,6.05,3.6,3230
332,6786,0.53,Почти идеальное,Аква,"Мелкие включения, видимые без увеличения",61.6,59.0,5.2,5.16,3.19,1753
333,16012,0.38,Идеальное,Шампань,"Очень мелкие включения, не видимые без увеличения",62.4,56.0,4.64,4.67,2.9,1267
334,7751,0.4,Отличное,Шампань,"Очень мелкие включения, видимые без увеличения",60.5,61.0,4.72,4.74,2.86,1053
335,11141,0.41,Отличное,Белый,"Очень мелкие включения, видимые без увеличения",62.4,57.0,4.71,4.74,2.95,899
336,20717,0.33,Почти идеальное,Шампань,"Очень мелкие включения, видимые без увеличения",61.7,60.0,4.4,4.45,2.73,723
337,11681,0.96,Отличное,Зеленый,"Мелкие включения, видимые без увеличения",62.7,58.0,6.2,6.24,3.9,3286
338,14786,1.02,Очень хорошее,Голубой,"Мелкие включения, видимые без увеличения",63.9,55.0,6.37,6.4,4.08,4476
339,1128,0.3,Отличное,Белый,Чистый,63.5,55.0,4.28,4.26,2.71,956
340,16198,0.91,Отличное,Аква,"Мелкие включения, видимые без увеличения",63.5,56.0,6.13,6.18,3.91,4389
341,9831,0.7,Отличное,Белый,"Очень мелкие включения, видимые без увеличения",61.9,57.0,5.68,5.71,3.53,3127
342,14517,0.52,Идеальное,,"Очень мелкие включения, видимые без увеличения",61.7,56.0,5.16,5.18,3.19,1591
343,9908,0.3,Идеальное,Шампань,"Очень мелкие включения, видимые без увеличения",61.3,58.0,4.29,4.32,2.64,694
344,25725,0.31,Идеальное,Голубой,Чистый,61.8,56.0,4.36,4.38,2.7,816
345,18846,0.9,Отличное,Зеленый,"Очень мелкие включения, видимые без увеличения",62.8,52.0,6.19,6.23,3.9,3764
346,888,0.34,Отличное,Шампань,"Мелкие включения, видимые без увеличения",62.9,56.0,4.45,4.48,2.81,477
347,13994,0.3,Идеальное,,"Очень мелкие включения, не видимые без увеличения",61.7,58.0,4.28,4.31,2.65,862
348,15750,0.57,Идеальное,Розовый,"Очень мелкие включения, не видимые без увеличения",61.6,57.0,5.32,5.36,3.29,2322
349,15011,0.33,Идеальное,Голубой,"Мелкие включения, видимые без увеличения",61.2,54.0,4.45,4.5,2.74,448
350,13314,0.6,Идеальное,Розовый,"Мелкие включения, видимые без увеличения",61.5,58.0,5.38,5.41,3.32,1646
351,13734,0.71,Отличное,Белый,"Очень мелкие включения, видимые без увеличения",59.3,55.0,5.88,5.95,3.51,2994
352,9362,0.37,Почти идеальное,Розовый,"Очень мелкие включения, видимые без увеличения",60.5,59.0,4.67,4.62,2.81,894
353,12077,0.5,Отличное,Голубой,"Очень мелкие включения, видимые без увеличения",63.0,55.0,5.05,5.08,3.19,1209
354,21779,0.71,Хорошее,Желтый,"Очень мелкие включения, видимые без увеличения",64.4,56.0,5.64,5.6,3.62,1826
355,2623,0.27,Отличное,Голубой,"Очень мелкие включения, не видимые без увеличения",62.5,55.0,4.12,4.16,2.59,504
356,16304,0.52,Идеальное,Шампань,"Очень мелкие включения, видимые без увеличения",61.7,56.0,5.13,5.18,3.18,1742
357,19201,0.57,Идеальное,Белый,"Очень мелкие включения, видимые без увеличения",61.4,55.0,5.34,5.38,3.29,1972
358,14038,0.42,Идеальное,Зеленый,"Очень мелкие включения, не видимые без увеличения",60.2,57.0,4.85,4.88,2.93,884
359,10899,0.74,Отличное,,"Мелкие включения, видимые без увеличения",63.0,58.0,5.73,5.77,3.62,2282
360,2640,0.78,Идеальное,Зеленый,"Очень мелкие включения, видимые без увеличения",61.9,56.0,5.91,5.94,3.67,3105
361,21032,1.0,Почти идеальное,Голубой,"Мелкие включения, видимые без увеличения",61.8,59.0,6.4,6.35,3.94,4150
362,19034,0.52,Отличное,Белый,"Мелкие включения, видимые без увеличения",59.6,62.0,5.18,5.23,3.1,1244
363,6413,0.52,Идеальное,Шампань,"Очень мелкие включения, видимые без увеличения",62.5,56.0,5.16,5.11,3.21,1793
364,20984,0.54,Отличное,Шампань,"Мелкие включения, видимые без увеличения",62.4,57.7,5.19,5.2,3.25,1278
365,11629,0.74,Почти идеальное,,"Мелкие включения, видимые без увеличения",62.8,57.0,5.77,5.73,3.61,2109
366,4454,0.7,Очень хорошее,Розовый,"Очень мелкие включения, видимые без увеличения",63.8,60.0,5.61,5.52,3.55,2290
367,17837,0.24,Очень хорошее,,Чистый,65.1,58.0,3.86,3.88,2.52,492
368,18147,0.32,Почти идеальное,Белый,"Очень мелкие включения, видимые без увеличения",62.5,58.0,4.36,4.38,2.73,561
369,142,0.41,Идеальное,Аква,"Очень мелкие включения, не видимые без увеличения",62.3,57.0,4.76,4.74,2.96,1356
370,13541,0.33,Хорошее,Розовый,"Очень мелкие включения, не видимые без увеличения",65.7,54.0,4.37,4.3,2.85,693
371,17734,0.43,Идеальное,,Чистый,62.4,56.0,4.84,4.87,3.03,890
372,13230,0.27,Идеальное,Белый,"Мелкие включения, видимые без увеличения",62.3,55.0,4.14,4.18,2.59,361
373,16086,0.71,Очень хорошее,Белый,"Очень мелкие включения, видимые без увеличения",64.0,55.0,5.65,5.67,3.62,2599
374,17262,0.78,Почти идеальное,Розовый,"Мелкие включения, видимые без увеличения",61.5,59.0,5.96,5.88,3.64,2816
375,12600,0.55,Почти идеальное,Зеленый,"Очень мелкие включения, не видимые без увеличения",61.3,59.0,5.3,5.27,3.24,1712
376,7565,0.72,Почти идеальное,Аква,"Очень мелкие включения, видимые без увеличения",62.7,56.0,5.76,5.69,3.59,3601
377,14325,0.37,Почти идеальное,Розовый,"Очень мелкие включения, видимые без увеличения",60.5,59.0,4.62,4.67,2.81,696
378,10181,0.91,Отличное,Аква,"Мелкие включения, видимые без увеличения",61.5,59.0,6.18,6.25,3.82,4239
379,7603,0.75,Очень хорошее,Розовый,"Крупные включения, видимые без увеличения",64.0,59.0,5.78,5.62,3.66,1013
380,6067,0.7,Почти идеальное,Аква,"Очень мелкие включения, видимые без увеличения",61.0,59.0,5.79,5.72,3.51,3501
381,26601,0.79,Почти идеальное,Голубой,"Мелкие включения, видимые без увеличения",60.1,60.0,6.04,5.98,3.61,2498
382,4734,0.7,Хорошее,Шампань,"Мелкие включения, видимые без увеличения",65.3,56.0,5.57,5.54,3.63,1998
383,6853,0.29,Идеальное,Белый,"Очень мелкие включения, не видимые без увеличения",61.3,56.0,4.23,4.25,2.6,600
384,20296,0.33,Почти идеальное,Зеленый,"Мелкие включения, видимые без увеличения",61.3,59.0,4.51,4.46,2.75,572
385,16801,0.31,Идеальное,Аква,"Очень мелкие включения, видимые без увеличения",61.8,56.0,4.32,4.36,2.68,734
386,9920,0.4,Идеальное,Шампань,"Очень мелкие включения, видимые без увеличения",62.9,55.0,4.74,4.73,2.98,975
387,13592,0.54,Идеальное,Розовый,"Мелкие включения, видимые без увеличения",59.8,57.0,5.31,5.29,3.17,1369
388,22328,0.4,Почти идеальное,,"Мелкие включения, видимые без увеличения",60.8,59.0,4.8,4.77,2.91,990
389,5335,0.32,Идеальное,Белый,"Очень мелкие включения, не видимые без увеличения",61.2,56.0,4.42,4.41,2.7,936
390,16892,0.38,Почти идеальное,,"Очень мелкие включения, видимые без увеличения",61.9,60.0,4.62,4.66,2.87,1067
391,17525,0.39,Идеальное,Белый,Чистый,61.9,54.0,4.67,4.73,2.91,1101
392,20836,0.73,Почти идеальное,Розовый,"Мелкие включения, видимые без увеличения",61.6,58.0,5.79,5.73,3.55,2309
393,20505,0.91,Очень хорошее,Голубой,"Мелкие включения, видимые без увеличения",63.8,56.0,6.09,6.04,3.87,3323
394,10494,0.3,Идеальное,Белый,"Очень мелкие включения, видимые без увеличения",62.3,56.0,4.32,4.29,2.68,776
395,10356,1.01,Очень хорошее,Белый,"Мелкие включения, видимые без увеличения",63.7,58.0,6.31,6.35,4.03,3852
396,20669,0.3,Идеальное,Розовый,"Очень мелкие включения, не видимые без увеличения",62.1,55.0,4.32,4.31,2.68,1114
397,5818,0.32,Идеальное,Розовый,"Очень мелкие включения, видимые без увеличения",62.4,55.0,4.43,4.41,2.76,828
398,24876,0.33,Идеальное,Розовый,Чистый,61.3,55.0,4.47,4.5,2.75,1240
399,26440,1.09,Отличное,Желтый,"Очень мелкие включения, видимые без увеличения",62.3,59.0,6.56,6.63,4.11,4372
400,7426,0.97,Почти идеальное,Голубой,"Мелкие включения, видимые без увеличения",58.0,62.0,6.56,6.48,3.79,3911
401,17828,,Отличное,Белый,Чистый,58.5,60.0,5.83,5.87,3.42,3543
402,23809,0.51,Идеальное,Шампань,"Мелкие включения, видимые без увеличения",61.5,55.0,5.16,5.18,3.18,1438
403,17718,0.59,Почти идеальное,Розовый,"Мелкие включения, видимые без увеличения",62.2,60.0,5.37,5.33,3.33,2124
404,19162,0.31,Почти идеальное,Белый,"Очень мелкие включения, видимые без увеличения",61.8,59.0,4.35,4.32,2.68,802
405,11507,0.31,Почти идеальное,Голубой,"Очень мелкие включения, видимые без увеличения",61.4,61.0,4.36,4.33,2.67,698
406,5515,0.41,Идеальное,Желтый,"Очень мелкие включения, видимые без увеличения",62.7,57.0,4.75,4.72,2.97,830
407,16146,0.32,Идеальное,Зеленый,"Очень мелкие включения, не видимые без увеличения",61.4,56.0,4.42,4.44,2.72,575
408,14626,0.4,Идеальное,Зеленый,"Очень мелкие включения, видимые без увеличения",61.9,57.0,4.73,4.74,2.93,736
409,8977,0.58,Почти идеальное,Шампань,"Очень мелкие включения, видимые без увеличения",60.7,58.0,5.41,5.36,3.27,2105
410,20719,0.45,Идеальное,Зеленый,"Очень мелкие включения, видимые без увеличения",62.1,55.0,4.9,4.92,3.05,825
411,21219,0.82,Идеальное,Голубой,"Очень мелкие включения, видимые без увеличения",61.5,56.0,6.01,6.08,3.72,2804
412,2058,0.71,Отличное,Розовый,"Мелкие включения, видимые без увеличения",59.5,58.0,5.82,5.87,3.48,2129
413,2558,0.73,Идеальное,Зеленый,"Очень мелкие включения, видимые без увеличения",61.7,55.0,5.79,5.82,3.58,2453
414,3716,0.29,Отличное,Розовый,"Очень мелкие включения, видимые без увеличения",63.0,55.0,4.24,4.27,2.68,504
415,15679,0.71,Отличное,Розовый,"Очень мелкие включения, не видимые без увеличения",63.3,58.0,5.67,5.64,3.58,3104
416,24189,0.74,Идеальное,Розовый,"Очень мелкие включения, видимые без увеличения",62.3,56.0,5.79,5.76,3.6,3170
417,20354,0.41,Отличное,Белый,"Очень мелкие включения, не видимые без увеличения",61.0,61.0,4.72,4.75,2.89,1151
418,6501,0.33,Почти идеальное,Белый,"Очень мелкие включения, видимые без увеличения",60.8,59.0,4.45,4.43,2.7,854
419,20298,,Идеальное,,"Очень мелкие включения, не видимые без увеличения",61.4,55.0,5.15,5.18,3.17,2027
420,26654,0.55,Идеальное,Голубой,"Мелкие включения, видимые без увеличения",61.5,54.0,5.3,5.33,3.27,1134
421,20683,0.36,Идеальное,Аква,"Мелкие включения, видимые без увеличения",62.0,56.0,4.61,4.55,2.84,851
422,12972,0.9,Очень хорошее,,"Мелкие включения, видимые без увеличения",58.4,55.0,6.34,6.39,3.72,3269
423,2756,0.33,Идеальное,Желтый,"Очень мелкие включения, видимые без увеличения",61.6,54.0,4.5,4.52,2.78,451
424,3504,0.42,Идеальное,Розовый,"Очень мелкие включения, не видимые без увеличения",61.6,56.0,4.83,4.85,2.98,1142
425,7079,0.32,Почти идеальное,Голубой,"Мелкие включения, видимые без увеличения",62.6,55.0,4.38,4.37,2.74,591
426,6661,0.73,Идеальное,,"Очень мелкие включения, видимые без увеличения",62.7,58.0,5.72,5.77,3.6,2939
427,9111,0.52,Идеальное,Розовый,"Очень мелкие включения, видимые без увеличения",62.2,55.0,5.18,5.14,3.21,1872
428,25330,0.71,Идеальное,,"Очень мелкие включения, видимые без увеличения",61.0,56.0,5.76,5.81,3.53,3838
429,25014,0.7,Идеальное,Аква,"Очень мелкие включения, видимые без увеличения",63.1,54.0,5.62,5.65,3.56,3618
430,8491,0.45,Почти идеальное,Зеленый,"Очень мелкие включения, видимые без увеличения",62.3,58.0,4.86,4.84,3.02,1035
431,10474,0.79,Идеальное,,"Мелкие включения, видимые без увеличения",62.3,57.0,5.9,5.85,3.66,2898
432,5611,0.3,Отличное,Аква,"Очень мелкие включения, видимые без увеличения",62.0,59.0,4.22,4.27,2.63,710
433,18582,0.53,Почти идеальное,Белый,"Очень мелкие включения, видимые без увеличения",63.0,58.0,5.17,5.15,3.25,1727
434,2204,0.31,Отличное,Зеленый,"Очень мелкие включения, видимые без увеличения",61.6,56.0,4.36,4.39,2.69,468
435,5813,0.31,Идеальное,Белый,"Очень мелкие включения, не видимые без увеличения",61.5,54.0,4.36,4.39,2.69,789
436,17822,0.31,Очень хорошее,Розовый,"Очень мелкие включения, видимые без увеличения",58.2,58.0,4.46,4.51,2.61,637
437,13377,0.32,Идеальное,Шампань,"Очень мелкие включения, не видимые без увеличения",61.4,54.0,4.44,4.45,2.73,843
438,10844,0.9,Хорошее,,"Очень мелкие включения, видимые без увеличения",64.5,61.0,6.07,6.03,3.9,4125
439,12970,0.36,Идеальное,Голубой,Чистый,61.6,56.0,4.56,4.59,2.82,912
440,23958,0.32,Идеальное,Аква,"Очень мелкие включения, видимые без увеличения",61.8,55.0,4.43,4.41,2.73,842
441,11028,0.3,Почти идеальное,Шампань,"Очень мелкие включения, не видимые без увеличения",61.8,58.0,4.29,4.26,2.64,1013
442,14556,0.33,Идеальное,Белый,"Очень мелкие включения, не видимые без увеличения",61.7,56.0,4.45,4.47,2.75,868
443,20894,0.3,Отличное,,"Очень мелкие включения, не видимые без увеличения",61.1,62.0,4.28,4.33,2.63,622
444,19623,0.47,Отличное,Розовый,"Очень мелкие включения, не видимые без увеличения",62.1,56.0,4.96,4.99,3.09,1616
445,293,0.38,Идеальное,Аква,"Очень мелкие включения, видимые без увеличения",62.5,56.0,4.64,4.67,2.91,1067
446,22861,0.91,Отличное,,"Мелкие включения, видимые без увеличения",62.3,57.0,6.14,6.22,3.85,3848
447,6002,0.7,Почти идеальное,Белый,"Очень мелкие включения, видимые без увеличения",60.8,58.0,5.75,5.8,3.51,2317
448,25658,0.74,Очень хорошее,Белый,"Очень мелкие включения, видимые без увеличения",64.2,53.0,5.72,5.69,3.66,2322
449,11191,0.33,Идеальное,Шампань,"Очень мелкие включения, видимые без увеличения",61.8,55.0,4.45,4.48,2.76,723
450,24265,0.32,Почти идеальное,Аква,"Мелкие включения, видимые без увеличения",60.2,58.0,4.43,4.4,2.66,756
451,11470,0.31,Идеальное,Розовый,Чистый,61.0,56.0,4.39,4.43,2.69,914
452,3420,0.28,Отличное,Шампань,"Очень мелкие включения, не видимые без увеличения",60.0,56.0,4.26,4.28,2.56,642
